Sr No.,Company Name,Estab_year,Employees_count,Location,Designation,Involvement,Skills,HR_Name,Experience,linkedIN,Industry,LinkedIn Emp Count,LinkedIn Followers
1,Axis Bank,1994,More than 1000,"Bangalore, Mumbai",Relationship Manager (Drive),Full Time,"Corporate Sales,Debt Market,Equity Advisory,Mutual Funds,NISM,Sales",Riddhi Thakkar,8-12 Years,https://www.linkedin.com/company/axis-bank/?trk=top_nav_home,Banking,"78,896 employees","2,294,425 followers"
2,Axis Bank,1994,More than 1000,"Delhi, Kolkata",Relationship Manager (Drive),Full Time,"Corporate Sales,Debt Management,Debt Market,Equity Advisory,Mutual Funds,NISM,Sales",Riddhi Thakkar,8-12 Years,https://www.linkedin.com/company/axis-bank/?trk=top_nav_home,Banking,"78,896 employees","2,294,425 followers"
3,Carnera Technologies,2018,50 - 200,Work From Home,Inside Sales (Drive),Full Time,"Lead Generation,Sales",Roshni J,8-12 Years,https://www.linkedin.com/company/carnera,Information Technology & Services,44 employees,743 followers
4,Carnera Technologies,2018,50 - 200,Work From Home,Social Media (Drive),Full Time,"LinkedIn Sales Navigator,SEO,Social Media Marketing",Roshni J,8-12 Years,https://www.linkedin.com/company/carnera,Information Technology & Services,44 employees,743 followers
5,Concentrix,1983,More than 1000,"Bangalore, Gurgaon, Mumbai",Sr. Analyst (Drive),Full Time,"Adobe Launch,CSS,HTML,JavaScript",Deeksha Sharma,8-12 Years,https://www.linkedin.com/company/concentrix/,IT Services and IT Consulting,"147,404 employees","1,440,949 followers"
6,epiFi,2019,50 - 200,Bangalore,Relationship Manager (Drive),Full Time,"Corporate Sales,Lead Generation,Sales",Janaki B,8-12 Years,https://www.linkedin.com/company/epifi/about/,Financial Services,875 employees,"47,111 followers"
7,NxtWave,2020,More than 1000,Hyderabad,Corporate Relations Manager (Drive),Full Time,"Corporate Sales,Customer Relationship",Arifulla Gori Mohammad,8-12 Years,https://www.linkedin.com/company/nxtwavetech/about/,Education Administration Programs,"4,986 employees","144,468 followers"
8,NxtWave,2020,More than 1000,Hyderabad,Head of Sourcing (Drive),Full Time,"Campus Recruitment,IT Recruitment,Non IT Recruitment,Recruitment",Arifulla Gori Mohammad,8-12 Years,https://www.linkedin.com/company/nxtwavetech/about/,Education Administration Programs,"4,986 employees","144,468 followers"
9,Powerplay,2020,50 - 200,Bangalore,Key Account Manager (Drive),Full Time,"CRM,Hubspot,Key Account Management,Microsoft Excel,Sales,Salesforce,Stakeholder Management,Zoho CRM",Jayashree Nayak,8-12 Years,https://www.linkedin.com/company/getpowerplay/about/,"Technology, Information and Internet",109 employees,"22,228 followers"
10,Powerplay,2020,50 - 200,Bangalore,Onboarding Specialist (Drive),Full Time,"Customer Service,Desktop Troubleshooting,Microsoft Excel,SMB",Jayashree Nayak,8-12 Years,https://www.linkedin.com/company/getpowerplay/about/,"Technology, Information and Internet",109 employees,"22,228 followers"
11,Amazon Devices,1994,More than 1000,Hyderabad,Content Writer (Drive),Full Time,"Content Writing,English Content",Maria Joseph,1-4 Years,https://www.linkedin.com/company/amazon/about/,Software Development,"822,544 employees","31,648,397 followers"
12,Amazon Devices,1994,More than 1000,Chennai,Content Writer (Drive),Full Time,"Content Writing,English Content",Maria Joseph,1-4 Years,https://www.linkedin.com/company/amazon/about/,Software Development,"822,544 employees","31,648,399 followers"
13,CarDekho,2008,More than 1000,"Bathinda, Delhi, Lucknow",Business Manager (Drive),Full Time,"Automobile Loans,Commercial Vehicle Loans,Corporate Loans,Loans,Sales",Mehak Sharma,1-4 Years,https://www.linkedin.com/company/cardekho/,"Technology, Information and Internet","2,267 employees","109,626 followers"
14,CarDekho,2008,More than 1000,"Ahmedabad, Indore, Kolkata",Business Manager (Drive),Full Time,"Automobile Loans,Corporate Sales,Loans,Sales",Mehak Sharma,1-4 Years,https://www.linkedin.com/company/cardekho/,"Technology, Information and Internet","2,267 employees","109,626 followers"
15,CarDekho,2008,More than 1000,Mumbai,Business Manager (Drive),Full Time,"Automobile Loans,Corporate Sales,Loans,Sales",Mehak Sharma,1-4 Years,https://www.linkedin.com/company/cardekho/,"Technology, Information and Internet","2,267 employees","109,626 followers"
16,Digit88 Technologies,2014,50 - 200,Pune,Mern Full Stack Developer,Full Time,"MongoDB,Express.js,Node.js,React.js,Angular",Manju Kumari,6-10 Years,https://www.linkedin.com/company/digit88-technologies/about/,IT Services and IT Consulting,64 employees,"2,516 followers"
17,Jupiter,2019,50 - 200,Mumbai,Growth Manager (Drive),Full Time,"Digital Marketing,Facebook Marketing,Product Marketing,Retention Management,Social Media Marketing",Shashwat Shukla,6-10 Years,https://www.linkedin.com/company/jupiter-money/about/,Banking,943 employees,"64,898 followers"
18,Jupiter,2019,50 - 200,Bangalore,Product Marketing (Drive),Full Time,"Clevertap,Google Analytics,Market Research,Marketing Communication,Product Marketing,Tableau",Shashwat Shukla,6-10 Years,https://www.linkedin.com/company/jupiter-money/about/,Banking,943 employees,"64,898 followers"
19,mPokket,2016,More than 1000,"Bangalore, Kolkata",Performance Marketing - Senior Manager (Drive),Full Time,"AppsFlyer,Clevertap,Digital Marketing,Facebook Marketing,Google Ads,Performance Marketing,SEM,SEO",Aikya Chakraborty,6-10 Years,https://www.linkedin.com/company/mpokket/,Financial Services,798 employees,"25,438 followers"
20,Plivo,2011,50 - 200,Work From Home,Associate Director - Level (Drive),Full Time,"Lead Generation,Sales",Sri Lakshmi Reddy,8-12 Years,-----,Not Available,Not Available,Not Available
21,Bombay Shaving Company,2015,50 - 200,Gurgaon,Business Head,Full Time,"Business Development,Corporate Sales,International Sales,Direct Sales",Consult Bae,5-10 Years,https://www.linkedin.com/company/bombay-shaving-company/about/,Personal Care Product Manufacturing,305 employees,"32,260 followers"
22,CreditVidya,2013,50 - 200,Hyderabad,Senior UI Developer,Full Time,"Vue.js,React.js,JavaScript,HTML,CSS",Priya Desai,3-8 Years,https://www.linkedin.com/company/creditvidya/?originalSubdomain=in,Financial Services,239 employees,"14,865 followers"
23,Digit88 Technologies,2014,50 - 200,Pune,Java Developer SD3,Full Time,"Java,Spring Boot,Microservices,Data Structures,API Testing",Manju Kumari,6-10 Years,https://www.linkedin.com/company/digit88-technologies/about/,IT Services and IT Consulting,64 employees,"2,516 followers"
24,Fintellix Solutions,2008,200 - 500,Bangalore,Senior System Engineer,Full Time,"AWS,VDI,Windows Server,IT Infrastructure,DNS",Consult Bae,9-12 Years,https://www.linkedin.com/company/fintellix-solutions/about/,IT Services and IT Consulting,265 employees,"12,824 followers"
25,GoKiwi,2023,Oct-50,Bangalore,Product Manager,Full Time,"Product Management,Consumer Software",Priyal Gupta,2-4 Years,https://www.linkedin.com/company/gokiwinow/about/,Financial Services,41 employees,"3,070 followers"
26,HealthAsyst,1999,200 - 500,Bangalore,.NET Architect,Full Time,".NET,SQL",Sakshi Sahu,10-15 Years,https://www.linkedin.com/company/healthasyst,Software Development,345 employees,"25,404 followers"
27,Komprise,2014,Oct-50,Bangalore,Business Analyst,Full Time,"Business Analysis,Business Development,Power BI,Tableau",Priyanka Kumari,5-8 Years,-----,Not Available,Not Available,Not Available
28,Miles Education,2011,50 - 200,Bangalore,Embedded Engineer,Full Time,"Embedded C,Microcontrollers,Embedded Systems,Electronics,C++",Chaithanya Bk,1-4 Years,https://www.linkedin.com/company/mileseducation/?originalSubdomain=in,Education,807 employees,"66,944 followers"
29,Office Banao,2021,Oct-50,Bangalore,Head of 3D Game Designer,Full Time,"3D Modelling,Graphic Design,JavaScript,React.js,three.js",Shreya Gadia,5-10 Years,https://www.linkedin.com/company/officebanao/about/,Software Development,130 employees,"13,341 followers"
30,Unocoin,2013,50 - 200,Bangalore,Backend Developer,Full Time,PHP,Ankita Sharma,4-8 Years,https://www.linkedin.com/company/unocoin/?originalSubdomain=in,Financial Services,73 employees,"7,475 followers"
