,Job_id,company_id,Location,Designation,details_id
0,15312,5191,"Bangalore, Mumbai",Relationship Manager (Drive),644
1,12853,5191,"Delhi, Kolkata",Relationship Manager (Drive),427
2,19265,9747,Work From Home,Inside Sales (Drive),822
3,12860,9747,Work From Home,Social Media (Drive),354
4,17858,6393,"Bangalore, Gurgaon, Mumbai",Sr. Analyst (Drive),342
5,18504,8208,Bangalore,Relationship Manager (Drive),555
6,10446,5851,Hyderabad,Corporate Relations Manager (Drive),341
7,15977,5851,Hyderabad,Head of Sourcing (Drive),819
8,14558,5130,Bangalore,Key Account Manager (Drive),618
9,12570,5130,Bangalore,Onboarding Specialist (Drive),872
10,16998,6530,Hyderabad,Content Writer (Drive),892
11,12023,6530,Hyderabad,Content Writer (Drive),764
12,16084,6530,Chennai,Content Writer (Drive),892
13,11669,6530,Chennai,Content Writer (Drive),764
14,15626,1527,"Bathinda, Delhi, Lucknow",Business Manager (Drive),720
15,18590,1527,"Ahmedabad, Indore, Kolkata",Business Manager (Drive),637
16,18951,1527,"Ahmedabad, Indore, Kolkata",Business Manager (Drive),380
17,15308,1527,Mumbai,Business Manager (Drive),637
18,19539,1527,Mumbai,Business Manager (Drive),380
19,17661,3730,Pune,Mern Full Stack Developer,940
20,14661,9675,Mumbai,Growth Manager (Drive),808
21,10487,9675,Bangalore,Product Marketing (Drive),304
22,15510,8728,"Bangalore, Kolkata",Performance Marketing - Senior Manager (Drive),875
23,18786,5947,Work From Home,Associate Director - Level (Drive),437
24,18017,2556,Gurgaon,Business Head,505
25,18419,9462,Hyderabad,Senior UI Developer,151
26,11056,3730,Pune,Java Developer SD3,360
27,13044,6014,Bangalore,Senior System Engineer,938
28,16008,5388,Bangalore,Product Manager,917
29,16354,2745,Bangalore,.NET Architect,508
30,16082,8609,Bangalore,Business Analyst,845
31,12968,6897,Bangalore,Embedded Engineer,122
32,13475,2040,Bangalore,Head of 3D Game Designer,328
33,19596,9763,Bangalore,Backend Developer,822
34,16003,8579,Bangalore,Embedded Engineer,273
35,11625,7011,Work From Home,Site Reliability Engineer Or SRE,437
36,19906,9251,Bangalore,Fullstack Developer,974
37,18246,3730,Pune,Principle Java Engineer,459
38,15264,3730,Pune,Senior Fullstack Developer - Node.js / React.js,139
39,16783,3730,Pune,Senior Java Backend,801
40,14655,6897,Bangalore,Data Specialist,480
41,15198,1856,Bangalore,ServiceNow Architect,218
42,11691,8491,Gurgaon,Power Platform Developer,728
43,10612,5969,Gurgaon,Tourist Visa Sales,777
44,16130,6788,Noida,Manager Data Engineer,143
45,17689,4500,Pune,Technical Project Manager,412
46,15866,6333,Bangalore,OTT Frontend Developer,351
47,16991,5804,Mumbai,Cloud Solution Architect,206
48,19270,2745,Bangalore,Software Engineer,182
49,10288,7216,Bangalore,SDE 3,775
50,10432,7216,Bangalore,Staff Engineer,727
51,19633,6086,Mumbai,Fullstack Developer,870
